DEPARTAMENTO,PROVINCIA,DISTRITO,EDAD,SEXO,PRIMERA CARRERA,SEGUNDA CARRERA
CALLAO,CALLAO,CALLAO,23,Masculino,Desarrollo de Sistemas de Información,Diseño Gráfico
HUANUCO,HUANUCO,AMARILIS,47,Masculino,Desarrollo de Sistemas de Información,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,19,Femenino,Administración,Diseño Publicitario
LIMA,LIMA,SANTIAGO DE SURCO,18,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN JUAN DE MIRAFLORES,33,Masculino,Desarrollo de Sistemas de Información,Contabilidad
CALLAO,CALLAO,VENTANILLA,20,Femenino,Administración,Contabilidad
CALLAO,CALLAO,CALLAO,22,Masculino,Administración,Desarrollo de Sistemas de Información
LIMA,LIMA,SAN MARTIN DE PORRES,19,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,INDEPENDENCIA,18,Masculino,Diseño Gráfico,Construcción Civil
CALLAO,CALLAO,CALLAO,28,Masculino,Construcción Civil,Desarrollo de Sistemas de Información
LIMA,LIMA,LOS OLIVOS,22,Femenino,Diseño Gráfico,Administración
CALLAO,CALLAO,VENTANILLA,18,Masculino,Diseño Gráfico,Mecánica Automotriz
CALLAO,CALLAO,LA PERLA,23,Masculino,Contabilidad,Administración
LIMA,LIMA,SAN MIGUEL,18,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,BELLAVISTA,21,Femenino,Diseño Gráfico,Secretariado Ejecutivo
CUSCO,URUBAMBA,MARAS,18,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,SAN MIGUEL,50,Masculino,Desarrollo de Sistemas de Información,Desarrollo de Sistemas de Información
LIMA,LIMA,SAN MIGUEL,17,Masculino,Diseño Gráfico,Administración
CALLAO,CALLAO,CALLAO,19,Masculino,Diseño Publicitario,Diseño Gráfico
CALLAO,CALLAO,LA PERLA,17,Masculino,Desarrollo de Sistemas de Información,Diseño Gráfico
ANCASH,PALLASCA,CONCHUCOS,17,Femenino,Construcción Civil,Desarrollo de Sistemas de Información
LIMA,LIMA,LOS OLIVOS,17,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,VENTANILLA,20,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,BELLAVISTA,18,Masculino,Diseño Publicitario,Diseño Gráfico
CALLAO,CALLAO,VENTANILLA,20,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,26,Masculino,Desarrollo de Sistemas de Información,Administración
CALLAO,CALLAO,CALLAO,22,Masculino,Desarrollo de Sistemas de Información,Administración
CALLAO,CALLAO,LA PERLA,21,Femenino,Administración,Contabilidad
LIMA,LIMA,INDEPENDENCIA,18,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
LIMA,LIMA,COMAS,17,Masculino,Diseño Publicitario,Diseño Gráfico
CALLAO,CALLAO,BELLAVISTA,17,Femenino,Diseño Gráfico,Construcción Civil
LIMA,LIMA,SAN MIGUEL,17,Femenino,Diseño Gráfico,Mecánica Automotriz
LIMA,LIMA,LOS OLIVOS,21,Femenino,Contabilidad,Administración
LIMA,LIMA,SAN JUAN DE LURIGANCHO,21,Masculino,Diseño Publicitario,Diseño Gráfico
CALLAO,CALLAO,LA PERLA,20,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,19,Femenino,Secretariado Ejecutivo,Administración
CALLAO,CALLAO,BELLAVISTA,21,Masculino,Contabilidad,Contabilidad
CALLAO,CALLAO,CALLAO,18,Masculino,Contabilidad,Desarrollo de Sistemas de Información
LIMA,LIMA,VILLA EL SALVADOR,24,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
LIMA,LIMA,SAN MARTIN DE PORRES,18,Femenino,Diseño Publicitario,Diseño Publicitario
LIMA,LIMA,LOS OLIVOS,19,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,COMAS,20,Femenino,Secretariado Ejecutivo,Diseño Gráfico
CALLAO,CALLAO,CALLAO,17,Femenino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,CHACLACAYO,17,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,PUENTE PIEDRA,28,Masculino,Diseño Gráfico,Diseño Gráfico
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,19,Femenino,Diseño Gráfico,Administración
CALLAO,CALLAO,LA PERLA,18,Masculino,Administración,Desarrollo de Sistemas de Información
LIMA,LIMA,CARABAYLLO,20,Femenino,Diseño Gráfico,Administración
CALLAO,CALLAO,CALLAO,54,Masculino,Mecánica Automotriz,Construcción Civil
LIMA,LIMA,SAN MARTIN DE PORRES,34,Femenino,Contabilidad,Administración
SAN MARTIN,RIOJA,RIOJA,22,Femenino,Diseño Publicitario,Diseño Publicitario
CALLAO,CALLAO,CALLAO,17,Femenino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,LA VICTORIA,17,Femenino,Diseño Gráfico,Administración
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,19,Femenino,Construcción Civil,Construcción Civil
CALLAO,CALLAO,VENTANILLA,19,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,COMAS,22,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,18,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN MARTIN DE PORRES,29,Masculino,Diseño Gráfico,Mecánica Automotriz
CALLAO,CALLAO,VENTANILLA,19,Femenino,Administración,Diseño Gráfico
LIMA,LIMA,SAN MIGUEL,50,Masculino,Administración,Construcción Civil
LIMA,LIMA,PUEBLO LIBRE,25,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,LOS OLIVOS,28,Femenino,Administración,Secretariado Ejecutivo
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Publicitario,Diseño Gráfico
LIMA,LIMA,SAN MARTIN DE PORRES,19,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,LOS OLIVOS,19,Masculino,Diseño Gráfico,Contabilidad
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,17,Femenino,Contabilidad,Contabilidad
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Gráfico,Diseño Gráfico
CALLAO,CALLAO,CALLAO,19,Masculino,Construcción Civil,Administración
LIMA,LIMA,SAN MIGUEL,19,Masculino,Diseño Gráfico,Diseño Gráfico
JUNIN,CHANCHAMAYO,PERENE,23,Femenino,Administración,Contabilidad
LIMA,LIMA,LIMA,17,Femenino,Diseño Gráfico,Desarrollo de Sistemas de Información
CALLAO,CALLAO,VENTANILLA,17,Femenino,Administración,Contabilidad
CALLAO,CALLAO,VENTANILLA,18,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,17,Femenino,Desarrollo de Sistemas de Información,Diseño Gráfico
LIMA,LIMA,ATE,21,Masculino,Mecánica Automotriz,Mecánica Automotriz
CALLAO,CALLAO,CALLAO,23,Masculino,Desarrollo de Sistemas de Información,Administración
LIMA,LIMA,CHORRILLOS,20,Femenino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,SAN MIGUEL,19,Masculino,Mecánica Automotriz,Diseño Gráfico
LIMA,LIMA,VILLA EL SALVADOR,18,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,17,Masculino,Diseño Gráfico,Administración
CALLAO,CALLAO,CALLAO,17,Masculino,Desarrollo de Sistemas de Información,Mecánica Automotriz
LIMA,LIMA,LIMA,40,Masculino,Administración,Diseño Gráfico
LIMA,LIMA,PUENTE PIEDRA,20,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,SAN MIGUEL,18,Femenino,Contabilidad,Contabilidad
LIMA,LIMA,ATE,26,Femenino,Diseño Gráfico,Administración
LIMA,LIMA,ATE,17,Masculino,Desarrollo de Sistemas de Información,Administración
LIMA,LIMA,LIMA,20,Femenino,Administración,Construcción Civil
LIMA,LIMA,LIMA,36,Femenino,Contabilidad,Administración
LIMA,LIMA,LOS OLIVOS,33,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,LOS OLIVOS,18,Masculino,Diseño Gráfico,Mecánica Automotriz
LIMA,LIMA,SAN MARTIN DE PORRES,17,Masculino,Diseño Publicitario,Diseño Gráfico
LIMA,LIMA,LIMA,22,Femenino,Administración,Secretariado Ejecutivo
CALLAO,CALLAO,VENTANILLA,30,Femenino,Administración,Contabilidad
LIMA,LIMA,SAN JUAN DE LURIGANCHO,26,Masculino,Construcción Civil,Contabilidad
CALLAO,CALLAO,BELLAVISTA,19,Masculino,Diseño Gráfico,Diseño Gráfico
CALLAO,CALLAO,CALLAO,17,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,20,Femenino,Administración,Secretariado Ejecutivo
CALLAO,CALLAO,CALLAO,17,Masculino,Diseño Gráfico,Mecánica de Producción
LIMA,LIMA,SAN MIGUEL,22,Femenino,Desarrollo de Sistemas de Información,Contabilidad
CALLAO,CALLAO,CALLAO,17,Masculino,Desarrollo de Sistemas de Información,Diseño Gráfico
LIMA,LIMA,LIMA,18,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN JUAN DE LURIGANCHO,19,Masculino,Mecánica Automotriz,Mecánica de Producción
LIMA,LIMA,SAN MARTIN DE PORRES,18,Femenino,Diseño Gráfico,Mecánica de Producción
CALLAO,CALLAO,VENTANILLA,19,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,17,Femenino,Desarrollo de Sistemas de Información,Diseño Publicitario
LIMA,LIMA,LIMA,22,Femenino,Contabilidad,Diseño Publicitario
CALLAO,CALLAO,CALLAO,17,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,19,Masculino,Contabilidad,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,58,Femenino,Desarrollo de Sistemas de Información,Secretariado Ejecutivo
CALLAO,CALLAO,LA PERLA,23,Masculino,Administración,Diseño Publicitario
CALLAO,CALLAO,BELLAVISTA,33,Femenino,Diseño Gráfico,Administración
LIMA,LIMA,LA VICTORIA,17,Femenino,Administración,Secretariado Ejecutivo
CALLAO,CALLAO,CALLAO,18,Femenino,Desarrollo de Sistemas de Información,Mecánica de Producción
LIMA,LIMA,SAN MIGUEL,25,Femenino,Construcción Civil,Diseño Gráfico
CALLAO,CALLAO,LA PERLA,20,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,22,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
CALLAO,CALLAO,LA PERLA,22,Masculino,Desarrollo de Sistemas de Información,Diseño Gráfico
CALLAO,CALLAO,VENTANILLA,19,Femenino,Diseño Gráfico,Diseño Gráfico
CALLAO,CALLAO,CALLAO,18,Masculino,Administración,Contabilidad
LIMA,LIMA,SAN MIGUEL,20,Masculino,Mecánica Automotriz,Diseño Gráfico
LIMA,LIMA,SAN MIGUEL,44,Femenino,Administración,Contabilidad
LIMA,LIMA,LIMA,24,Masculino,Construcción Civil,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,18,Femenino,Diseño Publicitario,Diseño Gráfico
LIMA,LIMA,LOS OLIVOS,17,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,17,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,22,Masculino,Mecánica Automotriz,Diseño Gráfico
LIMA,LIMA,COMAS,19,Femenino,Contabilidad,Contabilidad
LIMA,LIMA,SAN MIGUEL,19,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,VENTANILLA,20,Femenino,Contabilidad,Administración
LIMA,LIMA,SAN MIGUEL,33,Femenino,Administración,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,45,Masculino,Mecánica de Producción,Construcción Civil
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,18,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,MAGDALENA DEL MAR,18,Masculino,Administración,Construcción Civil
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,24,Femenino,Diseño Publicitario,Contabilidad
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,22,Masculino,Administración,Administración
LIMA,LIMA,SAN MIGUEL,22,Femenino,Administración,Administración
LIMA,LIMA,ATE,19,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN MIGUEL,29,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,LIMA,26,Femenino,Secretariado Ejecutivo,Diseño Publicitario
LIMA,LIMA,SAN MIGUEL,24,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,LOS OLIVOS,19,Femenino,Desarrollo de Sistemas de Información,Mecánica de Producción
CALLAO,CALLAO,CALLAO,19,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,21,Masculino,Mecánica Automotriz,Desarrollo de Sistemas de Información
CALLAO,CALLAO,VENTANILLA,21,Masculino,Mecánica Automotriz,Construcción Civil
LIMA,LIMA,SAN MIGUEL,22,Masculino,Mecánica Automotriz,Mecánica Automotriz
LIMA,LIMA,SAN JUAN DE LURIGANCHO,18,Femenino,Diseño Gráfico,Desarrollo de Sistemas de Información
CALLAO,CALLAO,VENTANILLA,43,Femenino,Contabilidad,Administración
CALLAO,CALLAO,CALLAO,20,Femenino,Diseño Publicitario,Administración
LIMA,LIMA,SAN MARTIN DE PORRES,19,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,VENTANILLA,40,Masculino,Administración,Contabilidad
LIMA,LIMA,SAN MIGUEL,20,Masculino,Desarrollo de Sistemas de Información,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,21,Masculino,Administración,Mecánica Automotriz
CALLAO,CALLAO,LA PERLA,17,Femenino,Secretariado Ejecutivo,Diseño Gráfico
LIMA,LIMA,CHORRILLOS,20,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,VENTANILLA,19,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN JUAN DE MIRAFLORES,19,Masculino,Diseño Publicitario,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,26,Femenino,Administración,Diseño Publicitario
LIMA,LIMA,COMAS,17,Femenino,Administración,Contabilidad
LIMA,LIMA,SANTA ANITA,19,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,26,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,LOS OLIVOS,20,Masculino,Diseño Publicitario,Secretariado Ejecutivo
LIMA,LIMA,JESUS MARIA,40,Femenino,Diseño Gráfico,Diseño Publicitario
ICA,ICA,PACHACUTEC,19,Masculino,Mecánica Automotriz,Mecánica Automotriz
LIMA,LIMA,CARABAYLLO,44,Femenino,Administración,Contabilidad
CALLAO,CALLAO,BELLAVISTA,21,Femenino,Administración,Administración
LIMA,LIMA,SAN MIGUEL,22,Femenino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,LOS OLIVOS,22,Femenino,Administración,Contabilidad
CALLAO,CALLAO,CALLAO,19,Femenino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,LIMA,27,Masculino,Desarrollo de Sistemas de Información,Desarrollo de Sistemas de Información
LIMA,LIMA,LIMA,61,Femenino,Secretariado Ejecutivo,Diseño Gráfico
LIMA,LIMA,SAN MARTIN DE PORRES,18,Femenino,Administración,Contabilidad
CALLAO,CALLAO,VENTANILLA,25,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,26,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,35,Masculino,Diseño Gráfico,Contabilidad
CALLAO,CALLAO,LA PERLA,26,Femenino,Diseño Publicitario,Diseño Gráfico
CALLAO,CALLAO,VENTANILLA,42,Femenino,Secretariado Ejecutivo,Diseño Gráfico
ANCASH,CARHUAZ,AMASHCA,20,Masculino,Construcción Civil,Administración
CALLAO,CALLAO,CALLAO,48,Masculino,Construcción Civil,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,19,Femenino,Desarrollo de Sistemas de Información,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,18,Femenino,Contabilidad,Secretariado Ejecutivo
LIMA,LIMA,CARABAYLLO,18,Femenino,Diseño Gráfico,Construcción Civil
CALLAO,CALLAO,CALLAO,18,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,SAN MIGUEL,50,Femenino,Secretariado Ejecutivo,Desarrollo de Sistemas de Información
LIMA,LIMA,MAGDALENA DEL MAR,18,Femenino,Diseño Publicitario,Administración
LIMA,LIMA,SAN MIGUEL,17,Masculino,Administración,Contabilidad
CALLAO,CALLAO,VENTANILLA,19,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,LA PERLA,39,Femenino,Administración,Contabilidad
CALLAO,CALLAO,CALLAO,36,Masculino,Construcción Civil,Administración
CALLAO,CALLAO,CALLAO,18,Masculino,Construcción Civil,Contabilidad
CALLAO,CALLAO,CALLAO,18,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,29,Masculino,Desarrollo de Sistemas de Información,Diseño Gráfico
LIMA,LIMA,COMAS,18,Masculino,Diseño Publicitario,Diseño Gráfico
CALLAO,CALLAO,VENTANILLA,21,Femenino,Administración,Contabilidad
CALLAO,CALLAO,VENTANILLA,22,Femenino,Administración,Contabilidad
LIMA,LIMA,SAN MARTIN DE PORRES,18,Masculino,Diseño Publicitario,Desarrollo de Sistemas de Información
LIMA,LIMA,SAN JUAN DE LURIGANCHO,22,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Gráfico,Diseño Gráfico
CALLAO,CALLAO,VENTANILLA,19,Masculino,Mecánica Automotriz,Mecánica de Producción
CALLAO,CALLAO,CALLAO,57,Femenino,Secretariado Ejecutivo,Administración
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,28,Femenino,Administración,Construcción Civil
CALLAO,CALLAO,BELLAVISTA,19,Femenino,Administración,Contabilidad
LIMA,LIMA,PUENTE PIEDRA,18,Femenino,Administración,Contabilidad
CALLAO,CALLAO,CALLAO,35,Masculino,Desarrollo de Sistemas de Información,Mecánica Automotriz
LIMA,LIMA,LIMA,18,Masculino,Desarrollo de Sistemas de Información,Secretariado Ejecutivo
LIMA,LIMA,ATE,19,Masculino,Administración,Diseño Gráfico
CALLAO,CALLAO,LA PERLA,20,Masculino,Mecánica Automotriz,Mecánica Automotriz
CALLAO,CALLAO,CALLAO,18,Masculino,Administración,Administración
CALLAO,CALLAO,LA PERLA,18,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,19,Masculino,Administración,Contabilidad
CALLAO,CALLAO,VENTANILLA,26,Femenino,Administración,Secretariado Ejecutivo
CALLAO,CALLAO,CALLAO,17,Femenino,Contabilidad,Administración
CALLAO,CALLAO,BELLAVISTA,19,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
LIMA,LIMA,SAN MARTIN DE PORRES,18,Masculino,Desarrollo de Sistemas de Información,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,20,Masculino,Diseño Publicitario,Diseño Gráfico
LIMA,LIMA,PUENTE PIEDRA,31,Femenino,Diseño Gráfico,Administración
CALLAO,CALLAO,CALLAO,20,Masculino,Contabilidad,Mecánica Automotriz
CALLAO,CALLAO,CALLAO,17,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,VENTANILLA,21,Masculino,Mecánica de Producción,Mecánica Automotriz
CALLAO,CALLAO,CALLAO,17,Masculino,Mecánica Automotriz,Mecánica de Producción
LIMA,LIMA,SAN MARTIN DE PORRES,31,Femenino,Diseño Gráfico,Administración
CALLAO,CALLAO,CALLAO,19,Femenino,Secretariado Ejecutivo,Administración
CALLAO,CALLAO,CALLAO,17,Masculino,Desarrollo de Sistemas de Información,Mecánica de Producción
CALLAO,CALLAO,CALLAO,18,Masculino,Desarrollo de Sistemas de Información,Diseño Gráfico
CALLAO,CALLAO,CALLAO,17,Femenino,Administración,Secretariado Ejecutivo
AYACUCHO,PARINACOCHAS,CORACORA,17,Femenino,Administración,Contabilidad
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,17,Masculino,Desarrollo de Sistemas de Información,Contabilidad
LIMA,LIMA,SAN MARTIN DE PORRES,22,Femenino,Contabilidad,Contabilidad
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,18,Masculino,Mecánica Automotriz,Desarrollo de Sistemas de Información
CALLAO,CALLAO,VENTANILLA,22,Femenino,Administración,Mecánica de Producción
LIMA,LIMA,LIMA,18,Femenino,Diseño Publicitario,Construcción Civil
LIMA,LIMA,SAN MIGUEL,28,Masculino,Desarrollo de Sistemas de Información,Contabilidad
CALLAO,CALLAO,CALLAO,44,Masculino,Contabilidad,Contabilidad
CALLAO,CALLAO,VENTANILLA,23,Femenino,Diseño Gráfico,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,19,Masculino,Mecánica Automotriz,Mecánica Automotriz
CALLAO,CALLAO,VENTANILLA,17,Masculino,Desarrollo de Sistemas de Información,Construcción Civil
LIMA,LIMA,PUENTE PIEDRA,17,Femenino,Administración,Construcción Civil
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,VENTANILLA,21,Femenino,Diseño Publicitario,Secretariado Ejecutivo
CALLAO,CALLAO,CALLAO,20,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,LOS OLIVOS,26,Femenino,Contabilidad,Secretariado Ejecutivo
LIMA,LIMA,LOS OLIVOS,28,Femenino,Contabilidad,Secretariado Ejecutivo
LIMA,LIMA,SANTA ROSA,18,Masculino,Desarrollo de Sistemas de Información,Mecánica Automotriz
CALLAO,CALLAO,VENTANILLA,26,Femenino,Contabilidad,Administración
LIMA,LIMA,SAN MARTIN DE PORRES,29,Masculino,Mecánica Automotriz,Mecánica de Producción
LIMA,LIMA,SAN MIGUEL,22,Femenino,Administración,Construcción Civil
AYACUCHO,HUANTA,HUAMANGUILLA,20,Femenino,Construcción Civil,Diseño Gráfico
CALLAO,CALLAO,VENTANILLA,18,Femenino,Administración,Diseño Gráfico
CALLAO,CALLAO,VENTANILLA,20,Masculino,Contabilidad,Mecánica Automotriz
CALLAO,CALLAO,CALLAO,18,Masculino,Mecánica Automotriz,Diseño Gráfico
LIMA,LIMA,LOS OLIVOS,21,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,18,Femenino,Diseño Gráfico,Diseño Gráfico
CALLAO,CALLAO,BELLAVISTA,19,Masculino,Construcción Civil,Administración
LIMA,LIMA,CARABAYLLO,19,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,LA PERLA,18,Masculino,Desarrollo de Sistemas de Información,Diseño Gráfico
LIMA,LIMA,SAN MIGUEL,19,Masculino,Administración,Contabilidad
LIMA,LIMA,COMAS,25,Femenino,Diseño Gráfico,Diseño Gráfico
CALLAO,CALLAO,VENTANILLA,29,Femenino,Diseño Publicitario,Secretariado Ejecutivo
CALLAO,CALLAO,BELLAVISTA,18,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,17,Femenino,Diseño Gráfico,Secretariado Ejecutivo
LIMA,LIMA,SAN MARTIN DE PORRES,16,Masculino,Desarrollo de Sistemas de Información,Desarrollo de Sistemas de Información
CALLAO,CALLAO,VENTANILLA,17,Femenino,Diseño Publicitario,Secretariado Ejecutivo
CALLAO,CALLAO,VENTANILLA,18,Masculino,Contabilidad,Mecánica de Producción
CALLAO,CALLAO,CALLAO,18,Femenino,Diseño Gráfico,Mecánica Automotriz
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,28,Femenino,Contabilidad,Administración
LIMA,LIMA,SAN MIGUEL,27,Femenino,Contabilidad,Contabilidad
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Gráfico,Diseño Gráfico
CALLAO,CALLAO,CALLAO,20,Masculino,Construcción Civil,Administración
LIMA,LIMA,SAN JUAN DE LURIGANCHO,23,Masculino,Construcción Civil,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,19,Masculino,Administración,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,21,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,COMAS,18,Femenino,Diseño Gráfico,Administración
CALLAO,CALLAO,CALLAO,18,Masculino,Contabilidad,Mecánica de Producción
LIMA,LIMA,SAN JUAN DE LURIGANCHO,26,Femenino,Secretariado Ejecutivo,Administración
LIMA,LIMA,SAN MIGUEL,30,Femenino,Contabilidad,Contabilidad
CALLAO,CALLAO,CALLAO,18,Femenino,Administración,Diseño Gráfico
LIMA,LIMA,SAN MIGUEL,20,Femenino,Administración,Administración
CALLAO,CALLAO,VENTANILLA,24,Femenino,Contabilidad,Administración
CALLAO,CALLAO,CALLAO,21,Masculino,Desarrollo de Sistemas de Información,Diseño Gráfico
LIMA,LIMA,SAN JUAN DE MIRAFLORES,17,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,PUEBLO LIBRE,18,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN MIGUEL,34,Femenino,Contabilidad,Administración
LIMA,LIMA,PUEBLO LIBRE,19,Femenino,Secretariado Ejecutivo,Administración
LIMA,LIMA,LIMA,17,Femenino,Diseño Publicitario,Diseño Gráfico
ANCASH,POMABAMBA,POMABAMBA,46,Masculino,Secretariado Ejecutivo,Administración
LIMA,LIMA,SAN MARTIN DE PORRES,55,Femenino,Desarrollo de Sistemas de Información,Diseño Publicitario
CALLAO,CALLAO,VENTANILLA,21,Femenino,Administración,Secretariado Ejecutivo
CALLAO,CALLAO,VENTANILLA,20,Masculino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,SAN MIGUEL,22,Masculino,Mecánica Automotriz,Mecánica de Producción
CALLAO,CALLAO,CALLAO,62,Masculino,Desarrollo de Sistemas de Información,Diseño Publicitario
CALLAO,CALLAO,CALLAO,44,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,LIMA,20,Femenino,Desarrollo de Sistemas de Información,Diseño Publicitario
CALLAO,CALLAO,VENTANILLA,27,Masculino,Contabilidad,Construcción Civil
CALLAO,CALLAO,CALLAO,21,Masculino,Administración,Diseño Gráfico
CALLAO,CALLAO,CALLAO,20,Masculino,Contabilidad,Administración
CALLAO,CALLAO,CALLAO,19,Masculino,Mecánica de Producción,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,20,Masculino,Construcción Civil,Administración
LIMA,LIMA,SAN MARTIN DE PORRES,17,Masculino,Desarrollo de Sistemas de Información,Administración
CALLAO,CALLAO,CALLAO,19,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,VENTANILLA,21,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,LA VICTORIA,19,Masculino,Diseño Gráfico,Administración
